Customer_ID,Purpose,Preferred_Date,Preferred_Time,Estimated_Duration,Priority,Current_Rush_Level,Current_Appointments,Available_Employees,Holiday,Day_of_Week,Request_Timestamp,Appointment_Status,Suggested_Slot,Actual_Allocated_Slot,Queue_Position,Waiting_Time,Cancellation,Rescheduled,Employee_ID,Customer_Feedback,Historical_Slot_Load
CUST000000,KYC Update,2023-04-17,11:30-12:00,13,Disabled,Low,23,5,0,Monday,2023-04-09 06:00:00,Accepted,11:30-12:00,11:30-12:00,2,4,0,0,EMP012,2.0,0.37
CUST000001,Complaint,2023-01-22,16:00-16:30,15,Normal,Medium,41,9,1,Sunday,2023-01-12 08:00:00,Rejected,None,None,0,0,0,0,None,3.0,0.14
CUST000002,Document Verification,2023-09-01,10:30-11:00,17,Normal,Medium,38,3,0,Friday,2023-08-26 06:00:00,Suggested Slot,11:00-11:30,None,0,0,0,0,None,3.0,0.11
CUST000003,Document Verification,2023-09-21,09:30-10:00,21,Normal,Medium,5,4,1,Thursday,2023-09-16 07:00:00,Rejected,None,None,0,0,1,0,None,3.0,0.83
CUST000004,Passbook Update,2023-09-27,14:00-14:30,5,Normal,High,17,7,0,Wednesday,2023-09-19 17:00:00,Suggested Slot,14:30-15:00,None,0,0,0,0,None,3.0,0.83
CUST000005,KYC Update,2023-05-16,15:30-16:00,18,Senior Citizen,High,32,5,1,Tuesday,2023-05-12 08:00:00,Rejected,None,None,0,0,0,0,None,3.0,0.58
CUST000006,KYC Update,2023-02-02,12:30-13:00,18,Normal,High,26,8,0,Thursday,2023-01-24 20:00:00,Accepted,12:30-13:00,12:30-13:00,2,2,0,0,EMP005,2.0,0.55
CUST000007,RTGS/NEFT,2023-07-26,15:00-15:30,11,Normal,Low,48,9,0,Wednesday,2023-07-13 12:00:00,Accepted,15:00-15:30,15:00-15:30,6,9,0,0,EMP015,3.0,0.35
CUST000008,Loan Inquiry,2023-03-27,15:00-15:30,21,Normal,High,43,6,0,Monday,2023-03-13 04:00:00,Suggested Slot,15:30-16:00,None,0,0,0,0,None,3.0,0.25
CUST000009,Account Opening,2023-05-01,14:30-15:00,25,Normal,Low,8,5,0,Monday,2023-04-27 18:00:00,Accepted,14:30-15:00,14:30-15:00,5,23,0,0,EMP017,1.0,0.88
CUST000010,Home Loan,2023-04-23,11:30-12:00,46,Normal,Low,1,3,1,Sunday,2023-04-21 01:00:00,Rejected,None,None,0,0,1,0,None,3.0,0.5
CUST000011,Account Opening,2023-05-10,15:00-15:30,25,Normal,Medium,16,5,0,Wednesday,2023-05-03 02:00:00,Accepted,15:00-15:30,15:00-15:30,5,28,0,0,EMP011,1.0,0.68
