iter	MultiClass
0	0.7415783064
1	0.6363904171
2	0.5865214301
3	0.5689876375
4	0.5574151042
5	0.54541904
6	0.5445408177
7	0.5394390493
8	0.535788141
9	0.5326918351
10	0.5317459192
11	0.5300422661
12	0.5294920792
13	0.5286857016
14	0.5272274947
15	0.5267388503
16	0.5253615931
17	0.5247884294
18	0.5230912085
19	0.5224920844
20	0.5218650577
21	0.5208967115
22	0.5203780155
23	0.5197367112
24	0.5190390806
25	0.518605551
26	0.5178181079
27	0.517499685
28	0.5165662027
29	0.5161293145
30	0.5148966868
31	0.5142537557
32	0.5136397132
33	0.5132279331
34	0.5127347291
35	0.5121761983
36	0.5118636727
37	0.511576464
38	0.5109470867
39	0.5104238849
40	0.5096096013
41	0.5087693427
42	0.5082527084
43	0.5077007345
44	0.5068826111
45	0.5062537661
46	0.505879857
47	0.5055773175
48	0.5053465363
49	0.5046121505
