iter	Passed	Remaining
0	132	6494
1	140	3362
2	146	2296
3	153	1762
4	160	1444
5	166	1223
6	174	1072
7	180	949
8	188	858
9	196	784
10	203	720
11	210	665
12	217	617
13	224	578
14	230	538
15	237	505
16	244	474
17	251	447
18	257	420
19	264	396
20	271	374
21	277	352
22	283	333
23	290	314
24	299	299
25	305	282
26	311	265
27	319	250
28	325	235
29	333	222
30	339	208
31	346	195
32	353	181
33	359	169
34	367	157
35	373	145
36	381	134
37	387	122
38	398	112
39	405	101
40	416	91
41	426	81
42	434	70
43	444	60
44	452	50
45	462	40
46	470	30
47	480	20
48	487	9
49	496	0
